Team,3PA
Golden State Warriors,31.6
Houston Rockets,30.9
Cleveland Cavaliers,29.6
Charlotte Hornets,29.4
Dallas Mavericks,28.6
Portland Trail Blazers,28.5
Atlanta Hawks,28.4
Philadelphia 76ers,27.5
Los Angeles Clippers,26.7
Detroit Pistons,26.2
Boston Celtics,26.1
Phoenix Suns,25.8
Los Angeles Lakers,24.6
Washington Wizards,24.2
Utah Jazz,23.9
New Orleans Pelicans,23.8
Oklahoma City Thunder,23.7
Denver Nuggets,23.7
Toronto Raptors,23.4
Indiana Pacers,23.0
Sacramento Kings,22.4
Orlando Magic,22.2
New York Knicks,21.5
Chicago Bulls,21.4
San Antonio Spurs,18.5
Memphis Grizzlies,18.5
Brooklyn Nets,18.4
Miami Heat,18.0
Minnesota Timberwolves,16.4
Milwaukee Bucks,15.6
